"Tarih","PM10","SO2"
"3/21/2020","10.0099","2.584508"
"3/21/2020","10.9901","2.835468"
"3/21/2020","7.039604","2.996265"
"3/21/2020","5.019802","3.523807"
"3/21/2020","8.966054","3.866928"
"3/21/2020","9.991513","4.44191"
"3/21/2020","20.90665","4.138737"
"3/21/2020","26.94908","4.415022"
"3/21/2020","21.05092","3.30372"
"3/21/2020","10.09335","1.999125"
"3/21/2020","8.016973","1.88547"
"3/21/2020","11.96605","1.936239"
"3/21/2020","13.98303","2.138536"
"3/21/2020","14","2.22793"
"3/21/2020","21.93211","3.093865"
"3/21/2020","13.05106","3.18049"
"3/20/2020","19.94059","3.302403"
"3/20/2020","11.07638","3.153607"
"3/20/2020","8.025459","3.887525"
"3/20/2020","15.93211","3.32135"
"3/20/2020","10.05092","3.042474"
"3/20/2020","18.92362","2.413498"
"3/20/2020","28.91513","2.598988"
"3/20/2020","11.12748","2.747832"
"3/20/2020","7.028328","3.016017"
"3/20/2020","30.82979","3.010752"
"3/20/2020","12.13475","3.056678"
"3/20/2020","21.92908","3.016492"
"3/20/2020","11.07801","2.869351"
"3/20/2020","9.014184","2.373139"
"3/20/2020","10.98582","2.266439"
"3/20/2020","12.98582","1.983121"
"3/20/2020","12.00709","2.239727"
"3/20/2020","11.00709","1.979917"
"3/20/2020","10.00709","2.023219"
"3/20/2020","9.007092","2.163276"
"3/20/2020","8.007092","2.034589"
"3/20/2020","8.992908","1.99675"
"3/20/2020","18.92908","2.066902"
"3/20/2020","18.00427","2.387961"
"3/19/2020","27.92918","3.665336"
"3/19/2020","34.95036","5.6692"
"3/19/2020","36.98584","3.837512"
"3/19/2020","27.07082","3.17898"
"3/19/2020","28.98584","3.05504"
"3/19/2020","28.00708","3.106351"
"3/19/2020","22.04249","3.001568"
"3/19/2020","13.06383","2.791929"
"3/19/2020","17.96454","2.756378"
"3/19/2020","26.93617","2.846904"
"3/19/2020","19.05674","2.638672"
"3/19/2020","15.02837","2.619388"
"3/19/2020","18.97167","2.4214"
"3/19/2020","15.02833","2.106098"
"3/19/2020","10.03536","1.972691"
"3/19/2020","9.007072","2.0156"
"3/19/2020","6.021216","1.905493"
"3/19/2020","6.992928","1.876839"
"3/19/2020","10.97171","1.81058"
"3/19/2020","9.014144","1.796781"
"3/19/2020","8.007072","1.779377"
"3/19/2020","18.92221","1.791399"
"3/19/2020","10.06365","1.980729"
"3/19/2020","17.96596","2.040146"
"3/18/2020","14.02829","2.215698"
"3/18/2020","34.85106","2.267646"
"3/18/2020","23.08475","2.374833"
"3/18/2020","18.03541","2.193446"
"3/18/2020","52.75212","2.029812"
"3/18/2020","14.2766","2.231494"
"3/18/2020","19.95757","2.440636"
"3/18/2020","11.06374","2.547145"
"3/18/2020","11.99292","2.313843"
"3/18/2020","4.056657","2.018495"
"3/18/2020","0.028329","2.259385"
"3/18/2020","47.66006","2.023081"
"3/18/2020","4.311615","1.799126"
"3/18/2020","4.992928","1.72556"
"3/18/2020","5.992928","1.855816"
"3/18/2020","6.992928","1.706012"
"3/18/2020","4.021216","1.699646"
"3/18/2020","5.985856","1.701828"
"3/18/2020","6.992918","1.664055"
"3/18/2020","5.016973","1.690501"
"3/18/2020","8.966054","1.693472"
"3/18/2020","10.98303","1.761047"
"3/18/2020","10.00847","1.94778"
"3/18/2020","11.99149","2.185361"
"3/17/2020","13.98586","2.812996"
"3/17/2020","13.00707","2.797709"
"3/17/2020","20.94342","2.752844"
"3/17/2020","33.90806","2.961053"
"3/17/2020","32.01414","3.17065"
"3/17/2020","30.01414","3.102989"
"3/17/2020","26.02829","3.515897"
"3/17/2020","15.07779","3.755633"
"3/17/2020","21.95049","3.63544"
"3/17/2020","11.07779","3.278517"
"3/17/2020","10.00707","2.921924"
"3/17/2020","25.88685","2.73448"
"3/17/2020","14.08487","2.751444"
"3/17/2020","15.98586","2.598081"
"3/17/2020","14.01414","2.567961"
"3/17/2020","14","2.750499"
"3/17/2020","17.97734","2.638928"
"3/17/2020","25.95467","2.743933"
"3/17/2020","25.00567","2.744442"
"3/17/2020","23.01135","2.724077"
"3/17/2020","34.93192","2.646607"
"3/17/2020","32.01702","2.871342"
"3/17/2020","35.97734","2.752159"
"3/17/2020","33.01278","2.386404"
"3/16/2020","28.02837","2.210467"
"3/16/2020","30.98298","2.352668"
"3/16/2020","28.01702","2.463763"
"3/16/2020","28.99433","2.66315"
"3/16/2020","58.82979","2.783485"
"3/16/2020","53.03404","2.973349"
"3/16/2020","60.95461","3.35125"
"3/16/2020","56.02837","3.48463"
"3/16/2020","47.05106","4.231529"
"3/16/2020","47",""
"3/16/2020","46.00567",""
"3/16/2020","50.97167",""
"3/16/2020","42.05092",""
"3/16/2020","46.97167","4.378301"
"3/16/2020","44.017","3.864034"
"3/16/2020","38.03399","3.14568"
"3/16/2020","19.10765","2.960816"
"3/16/2020","40.87535","3.188716"
"3/16/2020","39.01133","3.379263"
"3/16/2020","27.06799","3.497588"
"3/16/2020","35.94894","3.624904"
"3/16/2020","36","3.483146"
"3/16/2020","37.98865","3.930197"
"3/16/2020","34.01136","3.943713"
"3/15/2020","55.87535","4.059617"
"3/15/2020","30.1471","4.719894"
"3/15/2020","23.0396","3.791197"
"3/15/2020","29.9604","5.064521"
"3/15/2020","21.05092","5.278839"
"3/15/2020","15.03395","4.493413"
"3/15/2020","19.97171","4.227125"
"3/15/2020","24.97171","4.816148"
"3/15/2020","28.97737","5.173808"
"3/15/2020","27.01132","5.622162"
"3/15/2020","28.98868","6.192291"
"3/15/2020","22.0396","5.751141"
"3/15/2020","28.9604","6.500914"
"3/15/2020","24.02825","4.394925"
"3/15/2020","30.96034","4.225068"
"3/15/2020","29.01133","3.580386"
"3/15/2020","53.85856","2.359046"
"3/15/2020","32.12465","2.284448"
"3/15/2020","31.00566","2.39201"
"3/15/2020","55.85836","2.630358"
"3/15/2020","37.10765","2.686559"
"3/15/2020","40.97734","3.099877"
"3/15/2020","40.00566","3.702588"
"3/15/2020","62.93475","6.829507"
"3/14/2020","52.06241","8.487309"
"3/14/2020","81.83027","5.310924"
"3/14/2020","64.10184","7.650595"
"3/14/2020","36.15842","9.032118"
"3/14/2020","33.01697","3.855154"
"3/14/2020","33","3.348601"
"3/14/2020","27.04249","3.285537"
"3/14/2020","26.00566","3.25732"
"3/14/2020","25.00708","2.924158"
"3/14/2020","32.95467","3.065512"
"3/14/2020","27.03395","3.126886"
"3/14/2020","28.98868","3.027054"
"3/14/2020","22.03966","3.184136"
"3/14/2020","21.00425","3.272787"
"3/14/2020","23.98303","3.603929"
"3/14/2020","17.0396","3.494581"
"3/14/2020","23.9604","3.712036"
"3/14/2020","25.98868","3.986992"
"3/14/2020","21.02829","4.046728"
"3/14/2020","21.99434","4.458179"
"3/14/2020","28.9604","5.008103"
"3/14/2020","19.05658","5.227013"
"3/14/2020","20.98868","4.759964"
"3/14/2020","17.00569","4.399095"
"3/13/2020","19.98723","5.005347"
"3/13/2020","26.97025","4.715689"
"3/13/2020","26.00566","5.235646"
"3/13/2020","31.97447","4.730283"
"3/13/2020","32.99574","4.226953"
"3/13/2020","33.99575","4.462762"
"3/13/2020","37.983","5.658284"
"3/13/2020","48.95326","6.367843"
"3/13/2020","40.0383","9.368924"
"3/13/2020","47.96596","13.02499"
"3/13/2020","40.03404","9.071591"
"3/13/2020","43.98298","8.96958"
"3/13/2020","55.94894","6.017485"
"3/13/2020","70.93617","7.760015"
"3/13/2020","67.01702","10.45417"
"3/13/2020","52.06383","12.0114"
"3/13/2020","47.02128","11.08724"
"3/13/2020","42.02128","11.16576"
"3/13/2020","38.01702","9.971061"
"3/13/2020","32.02553","9.767706"
"3/13/2020","39.96596","10.21283"
"3/13/2020","43.98303","10.43994"
"3/13/2020","46.98725","13.0576"
"3/13/2020","54.98865","17.53289"
"3/12/2020","69.93635","22.50148"
"3/12/2020","71.9915","37.29277"
"3/12/2020","93.90652","31.82216"
"3/12/2020","84.0425","43.31388"
"3/12/2020","70.05949","38.14988"
"3/12/2020","44.11064","33.81618"
"3/12/2020","41.01277","35.98199"
"3/12/2020","44.98298","39.57015"
"3/12/2020","45","41.61187"
"3/12/2020","33.05106","38.32266"
"3/12/2020","33","18.11708"
"3/12/2020","48.93201","13.68189"
"3/12/2020","40.03824","13.0051"
"3/12/2020","40.99576","14.13479"
"3/12/2020","41.99576","16.19123"
"3/12/2020","34.03395","20.64837"
"3/12/2020","31.01273","8.021721"
"3/12/2020","22.03819","6.964102"
"3/12/2020","21.00424","7.763132"
"3/12/2020","26.97454","8.732736"
"3/12/2020","33.9703","9.9687"
"3/12/2020","29.02122","13.52849"
"3/12/2020","30.99149","11.46264"
"3/12/2020","35.99291","14.00412"
"3/11/2020","49.94059","32.51331"
"3/11/2020","60.95339","38.30122"
"3/11/2020","73.94476","36.96049"
"3/11/2020","53.08911","32.15297"
"3/11/2020","40.05516","18.41349"
"3/11/2020","31.03824","10.65336"
"3/11/2020","35.97875","12.97299"
"3/11/2020","40.97875","14.00959"
"3/11/2020","44.983","15.39927"
"3/11/2020","37.03399","15.40259"
